,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
51741,"Apr 23, 2017",4,4,4,5
63466,"Apr 23, 2017",4,4,4,4
51664,"Apr 23, 2017",5,5,5,5
50300,"Apr 23, 2018",3,2,2,2
61884,"Apr 24, 2008",2,3.5,3,3.5
61886,"Apr 24, 2008",3,3.5,3,4.5
61889,"Apr 24, 2008",3,5,1,3.5
61883,"Apr 24, 2008",4,4,5,5
61890,"Apr 24, 2008",4,4.5,4,3.5
61891,"Apr 24, 2008",4,5,4.5,4.5
61892,"Apr 24, 2008",4,4,3.5,1.5
61855,"Apr 24, 2008",5,5,4,4
61856,"Apr 24, 2008",5,5,5,4.5
61858,"Apr 24, 2008",5,5,3.5,4.5
61859,"Apr 24, 2008",5,5,4,4.5
61860,"Apr 24, 2008",5,4,5,4.5
61861,"Apr 24, 2008",5,4.5,5,5
61237,"Apr 24, 2009",4,4,2.5,3.5
60420,"Apr 24, 2011",1,2,3,4
59910,"Apr 24, 2012",2,2.5,3,2.5
59920,"Apr 24, 2012",4,4.5,5,4.5
